
Employee ID: 10
Employee name: Dana Wyatt
Employee gross pay: 656.25

Employee ID: 20
Employee name: Ezra Aiden
Employee gross pay: 284.75

Employee ID: 30
Employee name: Brittany Thibbs
Employee gross pay: 660.00

Employee ID: 40
Employee name: Zephaniah Hughes
Employee gross pay: 20.00

Employee ID: 50
Employee name: Caylee Callahan
Employee gross pay: 542.50

Employee ID: 60
Employee name: Zane Stephens
Employee gross pay: 607.50

Employee ID: 70
Employee name: Maverick Cummings
Employee gross pay: 420.75

Employee ID: 80
Employee name: Kamari Todd
Employee gross pay: 464.00
